               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.017576,           0.0094454,                   0,             0.88955,             0.90132,             0.93618,              0.7049,              0.0225,            0.011602,                   0,           0.0063895,           0.0063895,           0.0063895
                 133,            0.017131,           0.0083416,                   0,             0.85364,             0.92092,             0.94556,             0.73338,            0.021927,            0.012378,                   0,           0.0063432,           0.0063432,           0.0063432
                 134,            0.017314,            0.011339,                   0,             0.91666,             0.86833,             0.90468,             0.68539,            0.021656,            0.010898,                   0,           0.0062969,           0.0062969,           0.0062969
                 135,            0.017572,            0.011333,                   0,             0.84989,             0.89474,             0.90255,             0.67418,             0.02274,            0.012462,                   0,           0.0062505,           0.0062505,           0.0062505
                 136,             0.01774,            0.011413,                   0,             0.84903,             0.88816,             0.93417,             0.70574,            0.022587,             0.01243,                   0,            0.006204,            0.006204,            0.006204
                 137,            0.017425,            0.010487,                   0,             0.95466,             0.84211,              0.9516,             0.72379,            0.022082,            0.010695,                   0,           0.0061574,           0.0061574,           0.0061574
                 138,            0.018183,            0.010679,                   0,             0.94345,             0.88158,             0.95249,             0.72542,            0.022293,            0.010385,                   0,           0.0061107,           0.0061107,           0.0061107
                 139,            0.016633,            0.010748,                   0,             0.87399,             0.91447,             0.93749,             0.71448,            0.021413,            0.011336,                   0,            0.006064,            0.006064,            0.006064
                 140,            0.016912,           0.0094107,                   0,             0.94909,             0.86184,             0.94301,             0.72302,            0.022226,            0.011042,                   0,           0.0060172,           0.0060172,           0.0060172
                 141,            0.017201,             0.01028,                   0,             0.90101,             0.90132,             0.95543,             0.74102,            0.021182,            0.010041,                   0,           0.0059704,           0.0059704,           0.0059704
                 142,            0.016854,            0.011003,                   0,             0.94383,             0.88816,               0.961,              0.7261,            0.020979,            0.010482,                   0,           0.0059235,           0.0059235,           0.0059235
                 143,            0.016903,           0.0090493,                   0,             0.97058,             0.86827,             0.96024,             0.73102,            0.021431,            0.011401,                   0,           0.0058766,           0.0058766,           0.0058766
                 144,            0.017102,           0.0094458,                   0,             0.97001,             0.85526,             0.95475,             0.74072,            0.021224,            0.011253,                   0,           0.0058296,           0.0058296,           0.0058296
                 145,            0.016803,           0.0096171,                   0,             0.94235,             0.86184,              0.9397,             0.73162,            0.021389,            0.011709,                   0,           0.0057826,           0.0057826,           0.0057826
                 146,            0.016139,            0.008992,                   0,             0.96232,             0.84211,              0.9412,             0.73065,            0.021119,            0.012386,                   0,           0.0057355,           0.0057355,           0.0057355
                 147,            0.016978,            0.010473,                   0,             0.96311,             0.86184,             0.94611,             0.74628,            0.020872,            0.011145,                   0,           0.0056884,           0.0056884,           0.0056884
                 148,            0.016998,            0.010656,                   0,             0.94986,               0.875,             0.93866,              0.7277,            0.021715,            0.011489,                   0,           0.0056413,           0.0056413,           0.0056413
                 149,            0.016808,           0.0094514,                   0,             0.93698,             0.88158,             0.94357,             0.74953,            0.020899,            0.010877,                   0,           0.0055942,           0.0055942,           0.0055942
                 150,            0.017155,            0.010024,                   0,             0.93052,             0.88158,             0.93504,              0.7208,            0.022003,            0.011209,                   0,           0.0055471,           0.0055471,           0.0055471
                 151,            0.016411,           0.0099684,                   0,             0.88808,             0.88816,             0.93915,             0.72805,            0.021906,            0.011838,                   0,              0.0055,              0.0055,              0.0055
                 152,            0.016853,            0.010574,                   0,             0.94244,             0.86184,             0.94542,             0.73108,            0.022005,            0.012028,                   0,           0.0054529,           0.0054529,           0.0054529
                 153,            0.016623,           0.0093399,                   0,             0.94244,             0.86181,             0.93716,             0.72796,            0.021278,            0.011919,                   0,           0.0054058,           0.0054058,           0.0054058
                 154,            0.016472,            0.010591,                   0,             0.93661,             0.87491,              0.9276,             0.71716,            0.021686,            0.012365,                   0,           0.0053587,           0.0053587,           0.0053587
                 155,            0.016003,           0.0096108,                   0,             0.94926,             0.86184,             0.93916,             0.72711,            0.021733,            0.012132,                   0,           0.0053116,           0.0053116,           0.0053116
                 156,            0.016028,           0.0098178,                   0,             0.94922,             0.86184,             0.93415,             0.72846,            0.021561,            0.011799,                   0,           0.0052645,           0.0052645,           0.0052645
                 157,            0.015718,           0.0081236,                   0,             0.93452,             0.84868,             0.92977,             0.72632,            0.021961,            0.012007,                   0,           0.0052174,           0.0052174,           0.0052174
